Id;Username;City;EMail;Birthday
119;User119;Wolfsburg;User119pskurs.local;29.06.1988
120;User120;Leipzig;User120pskurs.local;16.05.1965
121;User121;Heidelberg;User121pskurs.local;10.09.1967
122;User122;Dresden;User122pskurs.local;25.05.1983
123;User123;Wiesbaden;User123pskurs.local;19.10.1970
124;User124;Darmstadt;User124pskurs.local;20.02.1982
125;User125;Offenbach am Main;User125pskurs.local;07.12.1965
126;User126;Hildesheim;User126pskurs.local;15.11.1977
127;User127;Krefeld;User127pskurs.local;10.06.1961
128;User128;Stuttgart;User128pskurs.local;21.08.1974
129;User129;Rostock;User129pskurs.local;06.09.1969
130;User130;Bremer­haven;User130pskurs.local;23.05.1970
131;User131;Gütersloh;User131pskurs.local;21.07.1977
132;User132;Bielefeld;User132pskurs.local;07.02.1965
133;User133;Köln;User133pskurs.local;30.09.1973
134;User134;Leipzig;User134pskurs.local;01.07.1983
135;User135;Gelsenkirchen;User135pskurs.local;28.09.1984
136;User136;Magdeburg;User136pskurs.local;30.08.1988
137;User137;Dortmund;User137pskurs.local;16.07.1978
138;User138;Recklinghausen;User138pskurs.local;29.11.1967
139;User139;Lübeck;User139pskurs.local;07.09.1962
140;User140;Münster;User140pskurs.local;05.03.1977
141;User141;Saarbrücken;User141pskurs.local;12.08.1983
142;User142;Hamm;User142pskurs.local;04.01.1971
143;User143;Düsseldorf;User143pskurs.local;29.01.1960
144;User144;Münster;User144pskurs.local;18.10.1970
145;User145;Koblenz;User145pskurs.local;16.08.1966
146;User146;Bergisch Gladbach;User146pskurs.local;25.07.1988
147;User147;Koblenz;User147pskurs.local;27.05.1977
148;User148;Reutlingen;User148pskurs.local;03.07.1960
149;User149;Oberhausen;User149pskurs.local;09.10.1962
150;User150;Oberhausen;User150pskurs.local;23.01.1989
151;User151;Dortmund;User151pskurs.local;12.01.1980
152;User152;Bremen;User152pskurs.local;17.03.1963
153;User153;Recklinghausen;User153pskurs.local;06.08.1973
154;User154;Kiel;User154pskurs.local;18.09.1969
155;User155;Hildesheim;User155pskurs.local;08.11.1965
156;User156;Herne;User156pskurs.local;30.07.1978
157;User157;Fürth;User157pskurs.local;19.04.1982
158;User158;Recklinghausen;User158pskurs.local;14.12.1990
159;User159;Hamburg;User159pskurs.local;25.08.1972
160;User160;Dortmund;User160pskurs.local;07.06.1972
161;User161;Düsseldorf;User161pskurs.local;24.12.1986
162;User162;Dortmund;User162pskurs.local;07.09.1976
163;User163;Stuttgart;User163pskurs.local;08.04.1988
164;User164;Hagen;User164pskurs.local;19.10.1990
165;User165;Hamburg;User165pskurs.local;20.04.1989
166;User166;Siegen;User166pskurs.local;10.05.1960
167;User167;Wuppertal;User167pskurs.local;03.01.1971
168;User168;Siegen;User168pskurs.local;26.08.1987
169;User169;Potsdam;User169pskurs.local;23.11.1966
170;User170;Jena;User170pskurs.local;12.03.1968
171;User171;Recklinghausen;User171pskurs.local;02.09.1972
172;User172;Oberhausen;User172pskurs.local;03.06.1969
173;User173;Münster;User173pskurs.local;07.02.1976
174;User174;Recklinghausen;User174pskurs.local;06.07.1984
175;User175;Freiburg im Breisgau;User175pskurs.local;10.06.1971
176;User176;Wuppertal;User176pskurs.local;11.09.1988
177;User177;Mannheim;User177pskurs.local;01.09.1965
178;User178;Berlin;User178pskurs.local;15.06.1973
179;User179;Hildesheim;User179pskurs.local;02.06.1984
180;User180;Augsburg;User180pskurs.local;14.10.1976
181;User181;Duisburg;User181pskurs.local;07.09.1980
182;User182;Hamburg;User182pskurs.local;21.01.1989
183;User183;Frankfurt am Main;User183pskurs.local;02.06.1983
184;User184;Koblenz;User184pskurs.local;28.11.1988
185;User185;Rostock;User185pskurs.local;21.12.1970
186;User186;Hildesheim;User186pskurs.local;28.11.1986
187;User187;Mannheim;User187pskurs.local;20.03.1966
188;User188;Hamm;User188pskurs.local;09.03.1979
189;User189;Würzburg;User189pskurs.local;20.08.1990
190;User190;Rostock;User190pskurs.local;28.07.1967
191;User191;Würzburg;User191pskurs.local;17.02.1987
192;User192;Hamm;User192pskurs.local;14.05.1982
193;User193;Aachen;User193pskurs.local;30.08.1987
194;User194;Reutlingen;User194pskurs.local;30.11.1982
195;User195;Reutlingen;User195pskurs.local;29.11.1964
196;User196;Pforzheim;User196pskurs.local;10.10.1977
197;User197;Herne;User197pskurs.local;06.04.1961
198;User198;Regensburg;User198pskurs.local;16.12.1960
199;User199;Erfurt;User199pskurs.local;01.04.1973
200;User200;Bremer­haven;User200pskurs.local;30.04.1970
201;User201;Potsdam;User201pskurs.local;20.03.1984
202;User202;Heidelberg;User202pskurs.local;05.10.1966
203;User203;Mainz;User203pskurs.local;20.08.1972
204;User204;Erlangen;User204pskurs.local;23.08.1969
205;User205;Göttingen;User205pskurs.local;06.05.1968
206;User206;Erlangen;User206pskurs.local;23.08.1980
207;User207;Bielefeld;User207pskurs.local;22.04.1975
208;User208;Karlsruhe;User208pskurs.local;21.06.1970
209;User209;Lübeck;User209pskurs.local;13.02.1968
210;User210;Lübeck;User210pskurs.local;02.03.1987
211;User211;Mainz;User211pskurs.local;08.02.1976
212;User212;Mannheim;User212pskurs.local;25.11.1977
213;User213;Oberhausen;User213pskurs.local;25.01.1970
214;User214;Solingen;User214pskurs.local;19.05.1969
215;User215;Braunschweig;User215pskurs.local;27.09.1962
216;User216;Duisburg;User216pskurs.local;23.06.1984
217;User217;Hildesheim;User217pskurs.local;29.04.1974
218;User218;Jena;User218pskurs.local;03.04.1964
219;User219;Leipzig;User219pskurs.local;18.09.1989
220;User220;Braunschweig;User220pskurs.local;07.04.1975
221;User221;Leverkusen;User221pskurs.local;20.04.1965
222;User222;Hagen;User222pskurs.local;19.04.1987
223;User223;Solingen;User223pskurs.local;02.07.1987
224;User224;Leverkusen;User224pskurs.local;13.11.1990
225;User225;Cottbus;User225pskurs.local;26.03.1990
226;User226;Gelsenkirchen;User226pskurs.local;19.05.1971
227;User227;Jena;User227pskurs.local;26.04.1977
228;User228;Frankfurt am Main;User228pskurs.local;30.09.1965
229;User229;Duisburg;User229pskurs.local;25.05.1973
230;User230;München;User230pskurs.local;27.07.1971
231;User231;Leverkusen;User231pskurs.local;10.11.1975
232;User232;Wiesbaden;User232pskurs.local;24.11.1970
233;User233;Osnabrück;User233pskurs.local;05.04.1973
234;User234;Münster;User234pskurs.local;21.08.1963
235;User235;Duisburg;User235pskurs.local;15.05.1990
236;User236;Wolfsburg;User236pskurs.local;22.06.1973
237;User237;Offenbach am Main;User237pskurs.local;11.03.1978
238;User238;Hannover;User238pskurs.local;11.10.1985
239;User239;Aachen;User239pskurs.local;03.04.1973
240;User240;Bergisch Gladbach;User240pskurs.local;25.11.1989
241;User241;Mainz;User241pskurs.local;25.09.1965
242;User242;Trier;User242pskurs.local;03.03.1974
243;User243;Ulm;User243pskurs.local;13.07.1962
244;User244;Recklinghausen;User244pskurs.local;14.03.1981
245;User245;Neuss;User245pskurs.local;24.09.1980
246;User246;Magdeburg;User246pskurs.local;20.08.1989
247;User247;Regensburg;User247pskurs.local;19.02.1974
248;User248;Erfurt;User248pskurs.local;03.11.1968
249;User249;Salzgitter;User249pskurs.local;24.06.1976
250;User250;Dresden;User250pskurs.local;18.01.1970
251;User251;Paderborn;User251pskurs.local;18.10.1964
252;User252;München;User252pskurs.local;17.11.1975
253;User253;Hagen;User253pskurs.local;26.03.1990
254;User254;Würzburg;User254pskurs.local;03.09.1990
255;User255;Köln;User255pskurs.local;16.07.1972
256;User256;Karlsruhe;User256pskurs.local;16.03.1972
257;User257;Essen;User257pskurs.local;08.08.1984
258;User258;Fürth;User258pskurs.local;07.04.1981
259;User259;Heilbronn;User259pskurs.local;26.05.1988
260;User260;Regensburg;User260pskurs.local;07.03.1974
261;User261;Reutlingen;User261pskurs.local;16.10.1967
262;User262;Paderborn;User262pskurs.local;04.09.1960
263;User263;Salzgitter;User263pskurs.local;08.05.1965
264;User264;Offenbach am Main;User264pskurs.local;05.06.1969
265;User265;Dortmund;User265pskurs.local;23.10.1964
266;User266;Essen;User266pskurs.local;15.11.1975
267;User267;Bremen;User267pskurs.local;20.12.1961
268;User268;Herne;User268pskurs.local;14.01.1977
269;User269;Leverkusen;User269pskurs.local;06.12.1965
270;User270;Osnabrück;User270pskurs.local;16.06.1977
271;User271;Bonn;User271pskurs.local;02.02.1989
272;User272;Stuttgart;User272pskurs.local;13.06.1990
273;User273;Oberhausen;User273pskurs.local;09.11.1972
274;User274;Saarbrücken;User274pskurs.local;02.05.1969
275;User275;Magdeburg;User275pskurs.local;14.06.1981
276;User276;Solingen;User276pskurs.local;20.03.1966
277;User277;Dresden;User277pskurs.local;17.12.1989
278;User278;Dortmund;User278pskurs.local;14.06.1961
279;User279;Hildesheim;User279pskurs.local;04.02.1976
280;User280;Hamm;User280pskurs.local;19.05.1965
281;User281;Leverkusen;User281pskurs.local;27.02.1976
282;User282;Bremen;User282pskurs.local;20.05.1979
283;User283;Oldenburg (Oldb);User283pskurs.local;14.07.1968
284;User284;Reutlingen;User284pskurs.local;14.11.1974
285;User285;Dresden;User285pskurs.local;05.04.1968
286;User286;Magdeburg;User286pskurs.local;10.04.1969
287;User287;Mülheim an der Ruhr;User287pskurs.local;08.04.1975
288;User288;Bremer­haven;User288pskurs.local;09.05.1976
289;User289;Pforzheim;User289pskurs.local;22.10.1960
290;User290;Krefeld;User290pskurs.local;24.05.1965
291;User291;Wuppertal;User291pskurs.local;26.12.1965
292;User292;Jena;User292pskurs.local;13.12.1967
293;User293;Leipzig;User293pskurs.local;02.05.1990
294;User294;Osnabrück;User294pskurs.local;05.08.1972
295;User295;Oberhausen;User295pskurs.local;03.04.1986
296;User296;Pforzheim;User296pskurs.local;03.04.1982
297;User297;Mannheim;User297pskurs.local;08.05.1965
298;User298;Ingolstadt;User298pskurs.local;09.11.1965
299;User299;Hagen;User299pskurs.local;17.07.1982
300;User300;Stuttgart;User300pskurs.local;15.02.1989
301;User301;Solingen;User301pskurs.local;03.11.1982
302;User302;Düsseldorf;User302pskurs.local;07.05.1980
303;User303;Chemnitz;User303pskurs.local;14.01.1970
304;User304;Oldenburg (Oldb);User304pskurs.local;18.09.1987
305;User305;Gelsenkirchen;User305pskurs.local;03.11.1969
306;User306;Augsburg;User306pskurs.local;17.12.1961
307;User307;Neuss;User307pskurs.local;18.06.1982
308;User308;Koblenz;User308pskurs.local;16.05.1972
309;User309;Hagen;User309pskurs.local;10.01.1973
310;User310;Stuttgart;User310pskurs.local;05.09.1968
311;User311;Leverkusen;User311pskurs.local;31.08.1987
312;User312;Regensburg;User312pskurs.local;26.01.1972
313;User313;Wolfsburg;User313pskurs.local;13.07.1967
314;User314;Dortmund;User314pskurs.local;03.03.1987
315;User315;Würzburg;User315pskurs.local;04.02.1966
316;User316;Heilbronn;User316pskurs.local;11.04.1960
317;User317;Gelsenkirchen;User317pskurs.local;30.12.1990
318;User318;Wuppertal;User318pskurs.local;17.01.1962
319;User319;Cottbus;User319pskurs.local;24.10.1962
320;User320;Essen;User320pskurs.local;12.12.1966
321;User321;Cottbus;User321pskurs.local;09.02.1983
322;User322;Saarbrücken;User322pskurs.local;11.03.1964
323;User323;Karlsruhe;User323pskurs.local;15.04.1973
324;User324;Braunschweig;User324pskurs.local;18.01.1960
325;User325;Oberhausen;User325pskurs.local;17.11.1989
326;User326;Gelsenkirchen;User326pskurs.local;08.01.1990
327;User327;Bremen;User327pskurs.local;30.07.1983
328;User328;Hannover;User328pskurs.local;04.04.1969
329;User329;Leverkusen;User329pskurs.local;23.09.1982
330;User330;Stuttgart;User330pskurs.local;18.12.1977
331;User331;Potsdam;User331pskurs.local;09.05.1979
332;User332;Oberhausen;User332pskurs.local;02.03.1973
333;User333;Offenbach am Main;User333pskurs.local;05.06.1980
334;User334;Bonn;User334pskurs.local;24.08.1965
335;User335;Köln;User335pskurs.local;19.05.1985
336;User336;Neuss;User336pskurs.local;23.06.1975
337;User337;Reutlingen;User337pskurs.local;30.01.1964
338;User338;Mainz;User338pskurs.local;09.03.1977
339;User339;Saarbrücken;User339pskurs.local;03.03.1966
340;User340;Pforzheim;User340pskurs.local;19.12.1979
341;User341;Aachen;User341pskurs.local;29.11.1988
342;User342;Darmstadt;User342pskurs.local;01.04.1967
343;User343;Moers;User343pskurs.local;01.06.1978
344;User344;Krefeld;User344pskurs.local;22.05.1978
345;User345;München;User345pskurs.local;18.10.1978
346;User346;Osnabrück;User346pskurs.local;26.05.1975
347;User347;Fürth;User347pskurs.local;13.05.1972
348;User348;Pforzheim;User348pskurs.local;14.06.1975
349;User349;Duisburg;User349pskurs.local;11.04.1975
350;User350;Jena;User350pskurs.local;19.12.1980
351;User351;Göttingen;User351pskurs.local;30.05.1986
352;User352;Siegen;User352pskurs.local;14.11.1980
353;User353;Fürth;User353pskurs.local;08.06.1960
354;User354;Remscheid;User354pskurs.local;25.08.1984
355;User355;Hannover;User355pskurs.local;20.05.1974
356;User356;Herne;User356pskurs.local;21.11.1970
357;User357;Pforzheim;User357pskurs.local;15.10.1975
358;User358;Berlin;User358pskurs.local;04.02.1964
359;User359;Erlangen;User359pskurs.local;10.11.1969
360;User360;Saarbrücken;User360pskurs.local;02.06.1988
361;User361;Bottrop;User361pskurs.local;11.11.1974
362;User362;Remscheid;User362pskurs.local;13.09.1988
363;User363;Köln;User363pskurs.local;17.03.1990
364;User364;Mannheim;User364pskurs.local;09.06.1988
365;User365;Leipzig;User365pskurs.local;22.04.1983
366;User366;Salzgitter;User366pskurs.local;18.07.1989
367;User367;Nürnberg;User367pskurs.local;08.03.1989
368;User368;Mülheim an der Ruhr;User368pskurs.local;11.11.1990
369;User369;Hildesheim;User369pskurs.local;04.01.1986
370;User370;Gütersloh;User370pskurs.local;16.03.1990
371;User371;Dresden;User371pskurs.local;22.07.1960
372;User372;Fürth;User372pskurs.local;17.11.1970
373;User373;Wiesbaden;User373pskurs.local;22.04.1979
374;User374;Münster;User374pskurs.local;17.10.1982
375;User375;Cottbus;User375pskurs.local;23.07.1969
376;User376;Kassel;User376pskurs.local;04.09.1964
377;User377;Köln;User377pskurs.local;30.07.1966
378;User378;Mainz;User378pskurs.local;02.09.1969
379;User379;Bergisch Gladbach;User379pskurs.local;02.02.1975
380;User380;Leipzig;User380pskurs.local;20.08.1977
381;User381;Hildesheim;User381pskurs.local;30.01.1970
382;User382;Mannheim;User382pskurs.local;19.03.1980
383;User383;Bottrop;User383pskurs.local;24.06.1969
384;User384;Reutlingen;User384pskurs.local;19.09.1989
385;User385;Reutlingen;User385pskurs.local;10.03.1983
386;User386;Offenbach am Main;User386pskurs.local;04.08.1979
387;User387;Krefeld;User387pskurs.local;14.09.1981
388;User388;Ingolstadt;User388pskurs.local;21.01.1984
389;User389;Bonn;User389pskurs.local;14.10.1963
390;User390;Düsseldorf;User390pskurs.local;15.12.1966
391;User391;Salzgitter;User391pskurs.local;12.11.1976
392;User392;Koblenz;User392pskurs.local;18.11.1968
393;User393;Krefeld;User393pskurs.local;26.04.1968
394;User394;Braunschweig;User394pskurs.local;16.07.1972
395;User395;Oldenburg (Oldb);User395pskurs.local;13.07.1970
396;User396;Koblenz;User396pskurs.local;08.11.1972
397;User397;München;User397pskurs.local;24.04.1964
398;User398;Salzgitter;User398pskurs.local;16.01.1989
399;User399;Lübeck;User399pskurs.local;22.11.1977
400;User400;Würzburg;User400pskurs.local;04.02.1962
401;User401;Mönchen­gladbach;User401pskurs.local;08.08.1983
402;User402;Magdeburg;User402pskurs.local;19.08.1983
403;User403;Duisburg;User403pskurs.local;15.04.1967
404;User404;Hagen;User404pskurs.local;09.11.1964
405;User405;Essen;User405pskurs.local;27.12.1989
406;User406;Koblenz;User406pskurs.local;14.01.1981
407;User407;Hamm;User407pskurs.local;30.09.1965
408;User408;Trier;User408pskurs.local;07.07.1973
409;User409;Stuttgart;User409pskurs.local;29.06.1981
410;User410;Karlsruhe;User410pskurs.local;05.04.1979
411;User411;Ludwigshafen am Rhein;User411pskurs.local;16.02.1973
412;User412;Trier;User412pskurs.local;17.02.1970
413;User413;Freiburg im Breisgau;User413pskurs.local;18.03.1960
414;User414;Ingolstadt;User414pskurs.local;25.10.1986
415;User415;Münster;User415pskurs.local;18.02.1981
416;User416;Köln;User416pskurs.local;12.02.1977
417;User417;Mönchen­gladbach;User417pskurs.local;21.05.1964
418;User418;Düsseldorf;User418pskurs.local;16.06.1965
419;User419;Augsburg;User419pskurs.local;03.03.1967
420;User420;Bergisch Gladbach;User420pskurs.local;29.03.1986
421;User421;Augsburg;User421pskurs.local;01.02.1968
422;User422;Mainz;User422pskurs.local;26.04.1974
423;User423;Leipzig;User423pskurs.local;30.12.1982
424;User424;Leverkusen;User424pskurs.local;05.04.1965
425;User425;Cottbus;User425pskurs.local;22.12.1982
426;User426;Regensburg;User426pskurs.local;25.11.1985
427;User427;Mainz;User427pskurs.local;23.03.1987
428;User428;Heilbronn;User428pskurs.local;14.02.1987
429;User429;Wolfsburg;User429pskurs.local;28.12.1970
430;User430;Oldenburg (Oldb);User430pskurs.local;02.11.1964
431;User431;Heidelberg;User431pskurs.local;08.07.1970
432;User432;Fürth;User432pskurs.local;10.03.1968
433;User433;Neuss;User433pskurs.local;03.04.1978
434;User434;Offenbach am Main;User434pskurs.local;13.12.1982
435;User435;Heidelberg;User435pskurs.local;03.08.1973
436;User436;Recklinghausen;User436pskurs.local;24.08.1978
437;User437;Bonn;User437pskurs.local;10.02.1980
438;User438;Siegen;User438pskurs.local;21.07.1969
439;User439;Pforzheim;User439pskurs.local;01.04.1972
440;User440;Jena;User440pskurs.local;05.04.1981
441;User441;Cottbus;User441pskurs.local;29.07.1964
442;User442;Cottbus;User442pskurs.local;13.02.1969
443;User443;München;User443pskurs.local;12.09.1984
444;User444;Hannover;User444pskurs.local;21.04.1981
445;User445;Recklinghausen;User445pskurs.local;15.08.1989
446;User446;Halle (Saale);User446pskurs.local;10.04.1973
447;User447;Moers;User447pskurs.local;05.12.1973
448;User448;Dortmund;User448pskurs.local;29.08.1971
449;User449;Trier;User449pskurs.local;11.10.1989
450;User450;Trier;User450pskurs.local;12.09.1987
451;User451;Chemnitz;User451pskurs.local;08.12.1983
452;User452;Würzburg;User452pskurs.local;29.04.1976
453;User453;Chemnitz;User453pskurs.local;22.03.1965
454;User454;Koblenz;User454pskurs.local;09.02.1974
455;User455;Salzgitter;User455pskurs.local;01.02.1974
456;User456;Heidelberg;User456pskurs.local;13.02.1970
457;User457;Koblenz;User457pskurs.local;20.07.1969
458;User458;Göttingen;User458pskurs.local;19.09.1988
459;User459;Paderborn;User459pskurs.local;26.08.1979
460;User460;Neuss;User460pskurs.local;15.06.1975
461;User461;Bottrop;User461pskurs.local;11.11.1986
462;User462;Gelsenkirchen;User462pskurs.local;06.03.1966
463;User463;Hamm;User463pskurs.local;12.11.1962
464;User464;Ludwigshafen am Rhein;User464pskurs.local;28.12.1979
465;User465;Nürnberg;User465pskurs.local;23.02.1962
466;User466;Osnabrück;User466pskurs.local;14.04.1990
467;User467;Bremen;User467pskurs.local;13.07.1967
468;User468;Leipzig;User468pskurs.local;17.09.1967
469;User469;Mannheim;User469pskurs.local;17.07.1967
470;User470;Ludwigshafen am Rhein;User470pskurs.local;05.07.1980
471;User471;Jena;User471pskurs.local;24.05.1978
472;User472;Erlangen;User472pskurs.local;25.07.1974
473;User473;Dortmund;User473pskurs.local;30.01.1973
474;User474;Wuppertal;User474pskurs.local;07.05.1977
475;User475;Krefeld;User475pskurs.local;15.08.1973
476;User476;Trier;User476pskurs.local;03.06.1961
477;User477;Braunschweig;User477pskurs.local;08.09.1989
478;User478;Hannover;User478pskurs.local;23.03.1974
479;User479;Augsburg;User479pskurs.local;31.01.1989
480;User480;Bremen;User480pskurs.local;23.04.1971
481;User481;Fürth;User481pskurs.local;23.07.1990
482;User482;Bochum;User482pskurs.local;20.12.1973
483;User483;Trier;User483pskurs.local;16.05.1985
484;User484;Hamm;User484pskurs.local;11.05.1982
485;User485;Würzburg;User485pskurs.local;14.04.1974
486;User486;Hamburg;User486pskurs.local;17.07.1990
487;User487;Potsdam;User487pskurs.local;22.12.1982
488;User488;Würzburg;User488pskurs.local;01.11.1990
489;User489;Pforzheim;User489pskurs.local;16.03.1989
490;User490;Herne;User490pskurs.local;20.07.1981
491;User491;Kiel;User491pskurs.local;25.09.1960
492;User492;Reutlingen;User492pskurs.local;05.04.1982
493;User493;Hannover;User493pskurs.local;30.05.1974
494;User494;Osnabrück;User494pskurs.local;03.06.1960
495;User495;Trier;User495pskurs.local;05.01.1979
496;User496;Dortmund;User496pskurs.local;07.12.1977
497;User497;Gelsenkirchen;User497pskurs.local;09.10.1983
498;User498;Mainz;User498pskurs.local;17.08.1964
499;User499;Bremen;User499pskurs.local;07.04.1963
500;User500;Hagen;User500pskurs.local;09.02.1984
501;User501;Freiburg im Breisgau;User501pskurs.local;28.01.1964
502;User502;Rostock;User502pskurs.local;26.11.1988
503;User503;Gelsenkirchen;User503pskurs.local;21.05.1984
504;User504;Mülheim an der Ruhr;User504pskurs.local;25.01.1974
505;User505;Ulm;User505pskurs.local;17.01.1984
506;User506;Würzburg;User506pskurs.local;23.11.1990
507;User507;Mülheim an der Ruhr;User507pskurs.local;20.04.1988
